visit_id,doctor_id,rep_id,visit_date,prescriptions_before,prescriptions_after
1,D0001,R015,2026-06-09,56,58.5
2,D0001,R015,2026-07-05,56,60.6
3,D0001,R010,2026-03-03,56,54.6
4,D0001,R015,2025-09-14,56,62.5
5,D0002,R012,2025-10-16,97,100.4
6,D0002,R013,2026-03-29,97,96.8
7,D0002,R025,2026-02-04,97,106.6
8,D0003,R015,2026-01-19,19,28.1
9,D0003,R010,2025-09-13,19,14.7
10,D0003,R011,2026-02-28,19,24.1
11,D0003,R011,2026-04-30,19,24.9
12,D0004,R015,2026-06-28,76,73.2
13,D0004,R011,2026-01-06,76,81.0
14,D0004,R010,2026-06-16,76,75.9
15,D0004,R011,2026-01-21,76,77.0
16,D0004,R016,2025-09-20,76,73.0
17,D0005,R011,2026-06-03,65,69.0
18,D0005,R016,2025-11-09,65,63.0
19,D0005,R016,2026-04-09,65,64.7
20,D0005,R010,2025-12-21,65,67.7
21,D0005,R016,2026-06-07,65,63.2
22,D0005,R016,2026-01-14,65,66.4
23,D0006,R013,2026-06-19,25,21.6
24,D0006,R012,2026-01-24,25,28.9
25,D0006,R025,2025-09-09,25,29.6
26,D0006,R004,2026-01-14,25,29.1
27,D0006,R012,2025-08-02,25,33.1
28,D0006,R013,2026-02-17,25,23.7
29,D0006,R025,2025-11-28,25,27.3
30,D0006,R004,2026-04-24,25,22.2
31,D0006,R012,2026-02-06,25,32.5
32,D0007,R014,2025-12-24,87,92.0
33,D0007,R009,2026-07-15,87,86.6
34,D0007,R008,2026-04-23,87,90.7
35,D0007,R009,2025-10-08,87,86.9
36,D0007,R021,2025-11-04,87,91.0
37,D0007,R009,2026-02-12,87,87.7
38,D0007,R014,2026-01-13,87,91.2
39,D0007,R009,2025-08-07,87,91.3
40,D0007,R009,2025-10-18,87,93.1
41,D0007,R008,2026-02-07,87,88.9
42,D0007,R014,2025-08-21,87,87.9
43,D0007,R008,2025-12-27,87,92.4
44,D0007,R009,2025-10-02,87,82.2
45,D0007,R008,2025-07-30,87,94.5
46,D0008,R013,2025-07-22,91,87.9
47,D0008,R025,2025-10-04,91,100.1
48,D0008,R025,2025-08-11,91,89.8
49,D0008,R004,2025-08-14,91,89.0
50,D0008,R013,2025-07-19,91,92.9
51,D0008,R025,2025-09-11,91,93.2
52,D0008,R012,2026-03-13,91,99.0
53,D0008,R013,2025-07-23,91,93.4
54,D0008,R013,2026-05-24,91,98.1
55,D0008,R012,2026-02-04,91,97.4
56,D0008,R012,2026-05-25,91,97.1
57,D0008,R013,2026-05-01,91,89.8
58,D0008,R013,2025-08-09,91,89.5
59,D0008,R025,2026-07-05,91,84.6
60,D0009,R020,2025-09-29,79,78.5
61,D0009,R023,2025-10-31,79,74.8
62,D0009,R022,2026-05-08,79,78.0
63,D0009,R001,2025-09-23,79,84.8
64,D0010,R008,2026-02-06,79,87.5
65,D0010,R014,2025-07-24,79,80.2
66,D0010,R021,2026-02-24,79,87.3
67,D0010,R009,2025-09-28,79,74.6
68,D0011,R025,2025-12-12,92,95.8
69,D0011,R013,2025-11-25,92,94.5
70,D0011,R012,2025-09-17,92,91.6
71,D0011,R012,2026-05-17,92,90.4
72,D0011,R012,2026-06-17,92,100.2
73,D0011,R012,2026-06-11,92,92.7
74,D0011,R025,2025-12-24,92,97.5
75,D0011,R013,2026-06-30,92,90.9
76,D0011,R013,2026-06-13,92,91.7
77,D0012,R024,2026-03-25,28,28.5
78,D0012,R007,2025-11-29,28,28.2
79,D0012,R005,2026-03-21,28,34.9
80,D0012,R005,2026-01-19,28,30.5
81,D0012,R003,2026-05-31,28,35.6
82,D0012,R005,2025-08-05,28,31.6
83,D0013,R004,2026-07-02,7,7.6
84,D0013,R004,2025-10-11,7,11.4
85,D0013,R012,2026-04-08,7,11.4
86,D0013,R025,2025-07-28,7,7.1
87,D0014,R016,2026-01-24,26,25.6
88,D0014,R016,2026-03-11,26,20.3
89,D0014,R015,2026-01-22,26,34.7
90,D0014,R016,2026-06-07,26,28.3
91,D0014,R016,2026-01-29,26,28.8
92,D0014,R015,2026-05-01,26,29.1
93,D0014,R011,2025-08-12,26,31.5
94,D0014,R015,2026-03-01,26,29.4
95,D0014,R015,2026-03-18,26,33.6
96,D0014,R010,2025-11-17,26,26.2
97,D0014,R011,2026-06-18,26,30.1
98,D0015,R003,2026-04-24,57,57.2
99,D0015,R003,2025-09-22,57,65.1
100,D0015,R007,2026-05-18,57,59.4
101,D0015,R017,2026-04-11,57,59.9
102,D0015,R017,2026-01-01,57,55.6
103,D0015,R007,2025-11-15,57,68.0
104,D0015,R006,2026-06-21,57,53.5
105,D0015,R006,2025-09-11,57,56.5
106,D0015,R005,2026-06-29,57,63.6
107,D0016,R007,2025-07-31,6,10.0
108,D0016,R024,2026-04-29,6,9.6
109,D0016,R024,2025-09-15,6,9.1
110,D0016,R024,2026-04-09,6,12.4
111,D0016,R005,2026-03-25,6,12.3
112,D0016,R006,2025-07-17,6,3.5
113,D0016,R024,2026-04-26,6,5.6
114,D0016,R005,2025-11-06,6,3.6
115,D0016,R005,2025-11-18,6,12.8
116,D0017,R009,2025-10-01,92,86.0
117,D0017,R008,2025-12-31,92,98.0
118,D0017,R021,2026-05-15,92,93.7
119,D0017,R014,2025-08-24,92,96.1
120,D0017,R014,2026-06-13,92,99.4
121,D0017,R009,2025-11-29,92,91.2
122,D0017,R008,2026-04-06,92,95.5
123,D0017,R021,2026-06-24,92,95.1
124,D0017,R009,2026-05-19,92,93.4
125,D0018,R011,2026-01-07,34,34.9
126,D0018,R015,2026-04-15,34,46.9
127,D0018,R011,2026-02-24,34,39.2
128,D0018,R011,2026-05-30,34,43.6
129,D0018,R010,2025-11-30,34,34.8
130,D0019,R008,2025-08-07,42,46.8
131,D0019,R008,2025-10-17,42,43.5
132,D0019,R008,2026-03-05,42,43.0
133,D0019,R014,2025-12-01,42,42.9
134,D0019,R014,2025-10-15,42,48.6
135,D0019,R021,2025-09-09,42,45.3
136,D0019,R008,2026-05-01,42,42.9
137,D0019,R021,2026-01-28,42,42.6
138,D0019,R009,2026-05-23,42,39.4
139,D0020,R013,2026-03-11,6,4.3
